id,"Clip Name",Category,Needs,Feelings,Label
7,0009.mp4,"reaction,","connection,honesty,autonomy,","sad,vulnerable,pain,",
13,0017.mp4,"dialog,reaction,","connection,honesty,autonomy,","tense,",
14,0018.mp4,"dialog,","connection,honesty,meaning,autonomy,","annoyed,","question,"
15,0019.mp4,"dialog,","meaning,honesty,",,"question,"
18,0022.mp4,"reaction,dialog,","meaning,honesty,","grateful,embarassed,vulnerable,","reject,"
41,0045.mp4,"reaction,","honesty,peace,play,","confident,inspired,joyful,",
57,0061.mp4,"dialog,","honesty,meaning,","tense,",
60,0064.mp4,"dialog,","connection,honesty,meaning,","disconnected,angry,disquiet,confused,","question,"
63,0067.mp4,"dialog,","honesty,","confused,","question,"
65,0069.mp4,"dialog,","honesty,","annoyed,disquiet,","question,"
66,0070.mp4,"reaction,","honesty,","disconnected,joyful,","clap,"
67,0071.mp4,"dialog,reaction,","autonomy,honesty,",,"reject,"
75,0102.mp4,"dialog,reaction,","meaning,honesty,","annoyed,confident,","reject,"
76,0103.mp4,"dialog,","honesty,peace,","confident,",
77,0104.mp4,"dialog,reaction,","honesty,","disquiet,","surprise,"
87,0114.mp4,"dialog,","honesty,","afraid,","question,surprise,"
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
96,0207.mp4,,"meaning,honesty,","confused,","question,"
97,0208.mp4,"dialog,","honesty,meaning,connection,","confident,","fact,"
98,0209.mp4,"dialog,","honesty,connection,","angry,annoyed,confused,",
100,0211.mp4,"dialog,","meaning,honesty,","annoyed,","question,"
107,0218.mp4,"dialog,","honesty,connection,meaning,","embarassed,","question,"
108,0219.mp4,"dialog,","meaning,honesty,autonomy,","angry,confident,",
115,0226.mp4,"dialog,","autonomy,meaning,honesty,","confused,",
116,0227.mp4,"dialog,reaction,","play,meaning,honesty,","sad,","defeat,"
117,0228.mp4,"dialog,","honesty,meaning,","disconnected,","fact,"
118,0229.mp4,"dialog,","connection,honesty,","engaged,","question,"
124,0236.mp4,"dialog,","honesty,","confused,aversion,","reject,"
125,0237.mp4,"dialog,","honesty,autonomy,","confident,disquiet,","fact,"
133,0246.mp4,"dialog,","honesty,autonomy,",,"reject,"
136,0249.mp4,"dialog,reaction,","honesty,","confident,","movement,fact,provoke,"
146,0259.mp4,"dialog,","honesty,","grateful,embarassed,",
148,0261.mp4,"dialog,reaction,","honesty,","confused,","question,"
234,0349.mp4,"dialog,","meaning,peace,honesty,",,"question,"
236,0351.mp4,"dialog,reaction,","meaning,honesty,",,
240,0357.mp4,"dialog,","autonomy,connection,honesty,",,
244,0361.mp4,"dialog,action,","connection,meaning,honesty,",,"question,"
248,0366.mp4,"dialog,reaction,","meaning,honesty,","confused,","question,"
251,0369.mp4,"dialog,","meaning,honesty,connection,",,"question,"
252,0370.mp4,"dialog,","meaning,connection,honesty,",,
253,0371.mp4,"dialog,","meaning,honesty,",,
259,0380.mp4,"reaction,action,","honesty,connection,meaning,peace,autonomy,physicalWellbeing,",,"WAITING,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
263,0384.mp4,,"connection,meaning,autonomy,honesty,peace,",,"WAITING,"
264,0385.mp4,"reaction,","honesty,meaning,",,"question,"
266,0387.mp4,"dialog,reaction,","meaning,honesty,",,"question,"
267,0388.mp4,"dialog,reaction,","meaning,honesty,",,
270,0391.mp4,"dialog,reaction,","honesty,",,
273,0394.mp4,"dialog,","connection,honesty,","engaged,grateful,affectionate,",
