id,"Clip Name",Category,Needs,Feelings,Label
5,0007.mp4,"action,","meaning,peace,",,"WAITING,listening,"
6,0008.mp4,"reaction,dialog,","meaning,","angry,annoyed,","question,"
8,0010.mp4,"reaction,dialog,","peace,meaning,autonomy,","peaceful,",
10,0013.mp4,"reaction,","meaning,","afraid,disquiet,",
14,0018.mp4,"dialog,","connection,honesty,meaning,autonomy,","annoyed,","question,"
15,0019.mp4,"dialog,","meaning,honesty,",,"question,"
16,0020.mp4,"dialog,","connection,meaning,",,
18,0022.mp4,"reaction,dialog,","meaning,honesty,","grateful,embarassed,vulnerable,","reject,"
29,0033.mp4,"reaction,dialog,","meaning,","confused,angry,annoyed,","question,"
30,0034.mp4,"reaction,","meaning,connection,play,","confused,angry,",
31,0035.mp4,"reaction,","meaning,connection,play,","confused,angry,",
35,0039.mp4,"reaction,","play,autonomy,meaning,","aversion,",
36,0040.mp4,"reaction,","meaning,","afraid,confused,",
38,0042.mp4,"reaction,","meaning,connection,","confused,annoyed,",
39,0043.mp4,"dialog,","meaning,","confused,joyful,","question,"
40,0044.mp4,"reaction,","meaning,play,","confused,annoyed,",
43,0047.mp4,"action,","connection,meaning,",,"WAITING,"
46,0050.mp4,"reaction,","meaning,","aversion,","WAITING,"
48,0052.mp4,"reaction,","meaning,connection,","aversion,embarassed,",
52,0056.mp4,"dialog,","connection,meaning,","vulnerable,",
53,0057.mp4,"reaction,","meaning,","grateful,vulnerable,",
56,0060.mp4,"dialog,","connection,meaning,","affectionate,","greeting,"
57,0061.mp4,"dialog,","honesty,meaning,","tense,",
58,0062.mp4,"dialog,","meaning,",,"question,"
60,0064.mp4,"dialog,","connection,honesty,meaning,","disconnected,angry,disquiet,confused,","question,"
69,0073.mp4,"reaction,","meaning,physicalWellbeing,peace,","annoyed,fatigue,aversion,","movement,"
74,0101.mp4,"dialog,","meaning,","confused,","question,"
75,0102.mp4,"dialog,reaction,","meaning,honesty,","annoyed,confident,","reject,"
78,0105.mp4,"reaction,","meaning,connection,",,"accept,"
82,0109.mp4,"dialog,reaction,","connection,meaning,autonomy,",,"accept,"
88,0115.mp4,"dialog,","meaning,","excited,","accept,"
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
90,0201.mp4,"dialog,","meaning,connection,",,"greeting,question,"
92,0203.mp4,"dialog,","connection,meaning,","confident,hopeful,",
93,0204.mp4,"dialog,","meaning,","annoyed,disconnected,","question,"
94,0205.mp4,"dialog,","meaning,","confused,","question,"
95,0206.mp4,"dialog,","meaning,","confused,","question,"
96,0207.mp4,,"meaning,honesty,","confused,","question,"
97,0208.mp4,"dialog,","honesty,meaning,connection,","confident,","fact,"
100,0211.mp4,"dialog,","meaning,honesty,","annoyed,","question,"
107,0218.mp4,"dialog,","honesty,connection,meaning,","embarassed,","question,"
108,0219.mp4,"dialog,","meaning,honesty,autonomy,","angry,confident,",
110,0221.mp4,"dialog,","autonomy,meaning,","aversion,",
111,0222.mp4,"dialog,","autonomy,meaning,","confident,aversion,","fact,"
113,0224.mp4,"dialog,","meaning,connection,","confused,","question,"
114,0225.mp4,"dialog,","meaning,","confused,","question,"
115,0226.mp4,"dialog,","autonomy,meaning,honesty,","confused,",
116,0227.mp4,"dialog,reaction,","play,meaning,honesty,","sad,","defeat,"
117,0228.mp4,"dialog,","honesty,meaning,","disconnected,","fact,"
120,0231.mp4,"dialog,","meaning,","disconnected,","accept,"
122,0233.mp4,"dialog,","meaning,","confused,","question,"
123,0235.mp4,"dialog,","meaning,","hopeful,",
127,0240.mp4,"reaction,","meaning,","confused,",
130,0243.mp4,"dialog,","connection,meaning,","hopeful,confident,inspired,",
